id,user_id,parent_id,name,color,is_starred,is_archived,order,created_at,updated_at
2be114f0-6d0a-4e99-afe7-88f591ed9d98,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,,Biology,default,false,false,3,2026-06-18 10:21:38.79+00,2026-06-18 10:21:38.79+00
2c3eaa2e-a45e-4eb6-b229-3aede1a4d16d,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,d0583571-1c46-439c-ad91-614b544d32c2,Unit 2,default,false,false,3,2026-07-01 08:33:53.003+00,2026-07-01 08:33:53.003+00
594bc268-bfd0-40bc-9eaf-1ea26d20048a,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,c5ee6c9b-f6f4-40a8-ae6c-2a064ba09152,AOS 2,default,false,false,6,2026-07-02 15:02:53.922+00,2026-07-02 15:02:53.922+00
9a7e8ca4-dd67-4942-a84c-f12b3511e9b7,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,,History,yellow,false,false,6,2026-06-20 04:50:05.13+00,2026-06-20 04:50:05.13+00
bf47baf7-f1be-4ca4-baf2-2767f3e345ed,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2be114f0-6d0a-4e99-afe7-88f591ed9d98,Unit 2,default,false,false,7,2026-07-07 06:08:12.502+00,2026-07-07 06:08:12.502+00
c5ee6c9b-f6f4-40a8-ae6c-2a064ba09152,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,9a7e8ca4-dd67-4942-a84c-f12b3511e9b7,Unit 4,default,false,false,5,2026-07-02 05:10:20.03+00,2026-07-02 05:10:20.03+00
d0583571-1c46-439c-ad91-614b544d32c2,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,,Chemistry,default,false,false,0,2026-06-15 13:58:55.864+00,2026-06-15 13:58:55.864+00
e982c2f1-e9ce-4458-bf75-f4b942a0e190,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,bf47baf7-f1be-4ca4-baf2-2767f3e345ed,AOS 1,default,false,false,8,2026-07-07 06:08:23.823+00,2026-07-07 06:08:23.823+00
e98c46d1-d9b3-4340-8db6-9b0945eb2c17,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2c3eaa2e-a45e-4eb6-b229-3aede1a4d16d,AOS 1,default,false,false,4,2026-07-01 08:34:14.472+00,2026-07-01 08:34:14.472+00
