id,session_id,card_id,user_id,rating,response_ms,reviewed_at,scheduled_interval,ease,was_new
18ae921d-0fcc-4e98-917a-34a4b698b0d8,ac58f954-7814-4979-8404-446055a3d06f,a3272a23-216c-488b-a090-22607d9c8b8c,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-16 14:13:45.056+00,1,3.28285649513529,false
19b40dae-abe5-484b-ba39-fed3572528cf,fca8f0d2-0970-4caf-a750-fa3e332332e2,a8932484-2f6f-4638-aea2-df853dc57708,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,16215,2026-07-13 06:50:45.456+00,14,3.86402671652124,false
1adb34a7-b62a-40c2-b00c-5d1de1de9da9,b973d53a-33c1-4970-a4e8-96618cbbcc36,0cc79915-547c-4a42-aa4f-88b730984d5f,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-21 06:24:11.502+00,1,3.28285649513529,true
1bc3f602-d309-42a2-9405-e4569c3121cf,8879a533-700a-4b28-a315-b29f423e3462,d1c17d98-1dd3-4b88-86a6-5305dd294af3,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,8218,2026-07-10 15:56:11.629+00,1,3.28285649513529,true
1d57c06e-483a-43e3-a50f-b41d20458733,a087f46f-5014-4ccc-8122-de2f15544d4a,57f0f3e9-6f2d-4bb9-a6d4-735dd99c2ce7,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,5706,2026-07-07 15:40:28.472+00,1,3.28285649513529,true
2007a509-6425-4936-8e7b-9dae55db579e,bcdd945c-39ff-4974-8a6a-c4aaae54a1d7,cd8eb3e1-acea-4a15-aa3b-a435cd0cf3ad,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-16 08:21:17.097+00,4,3.8,false
200e97d4-a676-4d70-940d-e9db8da949ff,bfea43b1-4e3f-4cae-84d2-0fcb99c28e84,96edf309-234f-489f-a7ac-447b435658f9,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-16 14:09:05.579+00,1,3.28285649513529,false
20c0efec-6d2d-4790-b40d-2db852b6b128,feeff074-f0d5-4b1b-afe3-c03acf568897,cd560b8a-3029-491d-b00b-719d2f576499,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,5290,2026-07-07 15:06:13.242+00,1,3.28285649513529,true
2136b53f-c14c-4d27-b993-925b9ec9414d,a5635911-ff84-4cb0-a905-5c50d916ba59,f73ce6f1-a21e-4db3-8e42-2a1f1d294c18,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,3386,2026-07-10 15:19:56.706+00,25,3.86402671652124,false
21ed8adf-8f81-4abd-b9fb-98fcbc700ede,6e90645d-e518-43a6-8d7f-f00b61e31601,b25f995e-92fc-486a-ad67-bc891ca3e370,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,7998,2026-07-11 05:13:39.57+00,43,3.86402671652124,false
23c4ffd3-8474-43fd-a7c9-341a7236f6f0,06593918-9451-4306-8b59-4130035e09af,15476e93-b9f4-4e9c-ac3e-98d592fcd602,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,14658,2026-07-16 06:22:40.681+00,1,3.28285649513529,true
249e5fb2-aad5-4dd9-985c-6181010170b0,39dc904b-c26b-4ac0-ad00-e5bc1d848f06,8ba13575-eace-4b94-b17c-973c4af18938,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,14525,2026-07-13 06:24:57.157+00,1,3.28285649513529,true
250e4ed3-392f-43ab-9dda-7f811d67b530,1f5e951f-dd64-478d-a135-4ae062dcdde4,339757cd-8e9f-4371-a977-3450c22a3448,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-17 13:31:40.65+00,1,3.28285649513529,false
2670964c-7be5-4431-8fe0-b6796f64da44,66c00fcc-e257-4381-8497-ea5a948417f0,de57c86f-04db-4232-b022-53d316cafffd,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,12126,2026-07-10 16:01:34.436+00,1,3.28285649513529,true
27791ce3-c6c5-4e4e-89c4-ae633dbfd17f,0a9e37db-188d-4e56-9210-db1e4dd9f23f,d25fc2c8-e7fa-4ce5-bcbc-8164c5565e72,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-20 10:22:00.548+00,14,4.34795649513529,false
2786294e-9aaa-41a7-bf00-f0dcf157dc47,98a94f50-5a76-4443-98a8-c660def93960,1bb0244a-c939-439c-a2a4-b422e808c7af,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,6226,2026-07-13 06:54:10.944+00,13,3.86402671652124,false
2789d413-350c-4a2f-8a4c-76e53837b6ca,f1f52b40-36a4-4f7e-a349-a0689605645c,d1c17d98-1dd3-4b88-86a6-5305dd294af3,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,3186,2026-07-12 07:48:56.347+00,28,3.86402671652124,false
28db642e-c19e-4405-9da7-bdafcece7d3c,5636b97e-98e3-47a9-bbe3-2d8fd16c4a01,340352bb-76e4-41e7-9e95-df58c6ed5ef8,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-16 14:08:25.75+00,1,3.28285649513529,false
294364eb-d028-4c7a-91cf-a3297505c47b,c29078c3-0056-47e6-9199-0cc665c28372,3997bf90-f550-4edb-883c-42ce34275db2,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,8819,2026-07-12 07:49:08.108+00,3,4.83729106698642,false
296964ed-ce6d-4508-b83f-3acbff14488e,98c04446-6e48-40ed-bb15-6b8a108828d4,8d427c1f-65df-4efa-aca9-4679f94a1c62,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-21 06:16:20.183+00,1,3.28285649513529,true
299b9262-cb87-47ae-a815-303c31d1869c,b0308ab6-0a3d-4f7b-a196-ee91ebc219da,394e25fc-9591-4523-b318-b87126bc416c,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,1,0,2026-06-16 14:23:48.462+00,2,5.41305649513529,false
2c575fe4-cc27-407a-ab7c-b3f4d5de7d9d,61839e30-e0d3-4cbd-9e5b-c22ea4e444b2,340352bb-76e4-41e7-9e95-df58c6ed5ef8,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-17 10:29:00.547+00,18,2.21775649513529,false
2d0672b7-fb8b-4886-92b9-662dcec31da0,79f922b0-af74-46ad-8b41-7fe466973ef4,9f44c2d3-d1a9-42af-bf29-fda249188510,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-18 11:11:10.268+00,13,2.21775649513529,false
2dfa265e-6b6a-4869-9623-1109c89c58a2,182b57e2-31fe-4c84-919f-8792b9d0c6b9,5fa5aa70-03c1-4d43-838c-d2927efef28c,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-18 10:45:17.25+00,1,3.28285649513529,true
2fa5b45a-29e2-4378-af15-bc8a1119f115,cc7df754-4e0e-4335-96d6-be5157564dfb,0600597e-ea73-4adf-8b2e-92190b1263e6,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,14278,2026-07-13 06:53:02.827+00,19,3.86402671652124,false
2fbe3f05-004f-41de-a399-58689d023db4,69e8a6bd-766d-40ad-a1d3-2c85a36d9127,f8a8381b-180a-428a-b933-ec5097c76f78,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,33245,2026-07-13 06:51:18.89+00,17,3.86402671652124,false
302da354-6581-4837-87d6-a4cd4cfad44f,c64f95e2-4918-49ce-baf1-30696b2d6a6d,bbd340cd-e719-4308-a346-860ecb76679d,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-16 14:15:42.742+00,1,3.28285649513529,false
304466fc-95a6-474b-b3e9-fea7bbc741e5,f1418adb-52ec-4b78-8807-554b6aca9106,a54773c7-374f-407a-a3aa-e526c6137391,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,1,0,2026-06-21 09:26:04.061+00,2,5.41305649513529,false
